YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2000,25,133941,5497,Autotrader
2004,21,130510,5800,Autotrader
2005,20,148000,5500,Autotrader
2006,19,98031,7998,Autotrader
2007,18,97612,13950,Autotrader
2008,17,191000,5500,Autotrader
2009,16,116003,8400,Autotrader
2010,15,123534,7900,Autotrader
2011,14,117763,9322,Autotrader
2012,13,122601,9955,Autotrader
2013,12,91533,11888,Autotrader
2014,11,102001,11999,Autotrader
2015,10,73294,13998,Autotrader
2016,9,73850,13800,Autotrader
2017,8,91994,15899,Autotrader
2018,7,156531,12988,Autotrader
2019,6,65492,18988,Autotrader
2020,5,33706,19422,Autotrader
2021,4,60064,18988,Autotrader
2022,3,15022,23991,Autotrader
2023,2,23919,22600,Autotrader
2024,1,12728,23994,Autotrader
2025,0,0,25400,Autotrader
